ID;Loan Duration;Credit history;Purpose;Loan Amount;Savings Account;Length of Current Employment;Installment Rate as % of Income;Guarantors;Length of Current Property Residence;Age;Housing;Number of existing loans;Job;Number of dependants;foreign worker;Sex;status;Target2;Target
527;15;Critical Account / Other Credits Existing at Other Bank;Education;1532;100-500 DM;1-3 years;4;None;3;31;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[331, 483, 894, 161, 401, 857, 421, 556, 388, 125, 129, 874, 257, 441]
528;4;Critical Account / Other Credits Existing at Other Bank;Radio/TV;1503;Less than 100 DM;4-6 years;2;None;1;42;Ownership;2;Unskilled - Resident;2;Yes;male;single;1;[234, 943, 626, 529, 656, 518, 532, 150, 443, 27, 412, 126, 929, 969]
529;36;Existing Credits Paid Back Duly Till Now;Radio/TV;2302;Less than 100 DM;1-3 years;4;None;4;31;Rented;1;Skilled;1;Yes;male;divorced/separated;2;[315, 530, 583, 328, 687, 993, 141, 840, 877, 511, 181, 148, 735, 671]
530;6;Existing Credits Paid Back Duly Till Now;New car;662;Less than 100 DM;less than 1 year;3;None;4;41;Ownership;1;Unskilled - Resident;2;Yes;male;single;1;[656, 443, 126, 532, 649, 27, 26, 478, 234, 527, 641, 765, 445, 903]
531;36;Existing Credits Paid Back Duly Till Now;Education;2273;Less than 100 DM;4-6 years;3;None;1;32;Ownership;2;Skilled;2;Yes;male;single;1;[583, 528, 315, 328, 687, 993, 511, 141, 840, 671, 877, 181, 148, 76]
532;15;Existing Credits Paid Back Duly Till Now;New car;2631;100-500 DM;1-3 years;2;None;4;28;Rented;2;Skilled;1;Yes;female;divorced/separated/married;2;[14, 809, 700, 197, 985, 82, 124, 727, 10, 761, 707, 972, 475, 582]
533;12;Delay in Paying Off in the Past;Used car;1503;Less than 100 DM;1-3 years;4;None;4;41;Rented;1;Skilled;1;Yes;male;married/widowed;1;[27, 656, 649, 443, 126, 529, 903, 26, 699, 478, 440, 641, 445, 234]
534;24;Existing Credits Paid Back Duly Till Now;Radio/TV;1311;100-500 DM;4-6 years;4;None;3;26;Ownership;1;Skilled;1;Yes;male;married/widowed;1;[764, 847, 636, 508, 872, 245, 579, 481, 455, 269, 500, 612, 965, 248]
535;24;Existing Credits Paid Back Duly Till Now;Radio/TV;3105;No Savings Account;less than 1 year;4;None;2;25;Ownership;2;Skilled;1;Yes;male;single;1;[269, 248, 965, 245, 481, 872, 630, 636, 764, 966, 500, 533, 912, 579]
536;21;Critical Account / Other Credits Existing at Other Bank;Education;2319;Less than 100 DM;less than 1 year;2;None;1;33;Rented;1;Skilled;1;Yes;male;divorced/separated;2;[423, 433, 602, 577, 172, 327, 862, 299, 729, 169, 414, 974, 855, 321]
537;6;Existing Credits Paid Back Duly Till Now;New car;1374;No Savings Account;Unemployed;4;None;3;75;Ownership;1;Highly Skilled;1;Yes;female;divorced/separated/married;1;[756, 0, 554, 430, 186, 774, 629, 187, 137, 75, 606, 779, 163, 723]
538;18;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;3612;Less than 100 DM;more than 6 years;3;None;4;37;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[824, 267, 790, 826, 772, 705, 904, 592, 737, 546, 785, 30, 437, 189]
539;48;Existing Credits Paid Back Duly Till Now;New car;7763;Less than 100 DM;more than 6 years;4;None;4;42;Free Housing;1;Highly Skilled;1;Yes;male;single;2;[304, 615, 938, 672, 310, 902, 3, 509, 854, 294, 653, 814, 87, 701]
540;18;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;3049;Less than 100 DM;less than 1 year;1;None;1;45;Ownership;1;Unskilled - Resident;1;Yes;female;divorced/separated/married;1;[908, 940, 631, 668, 399, 948, 298, 652, 712, 900, 899, 839, 479, 609]
541;12;Existing Credits Paid Back Duly Till Now;Radio/TV;1534;Less than 100 DM;less than 1 year;1;None;1;23;Rented;1;Skilled;1;Yes;male;married/widowed;2;[660, 363, 436, 905, 309, 203, 752, 979, 513, 104, 122, 47, 721, 795]
542;24;Delay in Paying Off in the Past;New car;2032;Less than 100 DM;more than 6 years;4;None;4;60;Free Housing;2;Skilled;1;Yes;male;single;1;[487, 465, 781, 13, 237, 838, 678, 213, 438, 62, 179, 83, 360, 784]
543;30;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;6350;No Savings Account;more than 6 years;4;None;4;31;Ownership;1;Skilled;1;Yes;male;single;2;[328, 687, 646, 530, 671, 583, 511, 525, 993, 51, 141, 315, 840, 528]
544;18;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;2864;Less than 100 DM;1-3 years;2;None;1;34;Ownership;1;Unskilled - Resident;2;Yes;male;single;2;[785, 97, 737, 189, 705, 826, 464, 749, 30, 608, 876, 452, 537, 827]
545;12;Critical Account / Other Credits Existing at Other Bank;New car;1255;Less than 100 DM;more than 6 years;4;None;4;61;Ownership;2;Unskilled - Resident;1;Yes;male;single;1;[589, 449, 96, 848, 816, 123, 769, 283, 760, 987, 807, 360, 8, 883]
546;24;Delay in Paying Off in the Past;New car;1333;Less than 100 DM;Unemployed;4;None;2;43;Free Housing;2;Skilled;2;Yes;male;single;2;[830, 977, 591, 674, 404, 406, 851, 182, 901, 884, 890, 298, 899, 742]
547;24;Critical Account / Other Credits Existing at Other Bank;New car;2022;Less than 100 DM;1-3 years;4;None;4;37;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[437, 729, 592, 267, 862, 172, 904, 790, 256, 537, 654, 602, 433, 824]
548;24;Existing Credits Paid Back Duly Till Now;Radio/TV;1552;Less than 100 DM;4-6 years;3;None;1;32;Ownership;1;Skilled;2;Yes;male;single;1;[942, 740, 918, 169, 321, 718, 984, 855, 299, 19, 949, 914, 755, 88]
549;12;All Credits at This Bank Paid Back Duly;Radio/TV;626;Less than 100 DM;1-3 years;4;None;4;24;Ownership;1;Unskilled - Resident;1;Yes;female;divorced/separated/married;2;[722, 821, 741, 12, 783, 762, 934, 632, 573, 550, 708, 102, 836, 964]
550;48;Critical Account / Other Credits Existing at Other Bank;Used car;8858;No Savings Account;4-6 years;2;None;1;35;Free Housing;2;Skilled;1;Yes;male;single;1;[657, 272, 685, 921, 927, 78, 829, 973, 375, 563, 672, 5, 938, 285]
551;12;Critical Account / Other Credits Existing at Other Bank;Repairs;996;No Savings Account;4-6 years;4;None;4;23;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;1;[836, 610, 12, 934, 873, 708, 931, 604, 308, 632, 471, 67, 167, 102]
552;6;All Credits at This Bank Paid Back Duly;Radio/TV;1750;500-1000 DM;more than 6 years;2;None;4;45;Ownership;1;Unskilled - Resident;2;Yes;male;single;1;[71, 21, 139, 933, 23, 484, 345, 157, 206, 335, 150, 176, 518, 732]
553;48;Existing Credits Paid Back Duly Till Now;Radio/TV;6999;Less than 100 DM;4-6 years;1;Guarantor;1;34;Ownership;2;Skilled;1;Yes;male;married/widowed;2;[467, 287, 986, 981, 191, 36, 569, 7, 945, 375, 285, 116, 968, 76]
554;12;Critical Account / Other Credits Existing at Other Bank;New car;1995;100-500 DM;less than 1 year;4;None;1;27;Ownership;1;Skilled;1;Yes;male;single;1;[627, 686, 89, 409, 745, 207, 490, 878, 499, 383, 358, 260, 510, 110]
555;9;Existing Credits Paid Back Duly Till Now;Education;1199;Less than 100 DM;4-6 years;4;None;4;67;Ownership;2;Highly Skilled;1;Yes;female;divorced/separated/married;1;[0, 536, 756, 186, 774, 430, 187, 629, 137, 606, 779, 75, 163, 846]
556;12;Existing Credits Paid Back Duly Till Now;Radio/TV;1331;Less than 100 DM;less than 1 year;2;None;1;22;Ownership;1;Skilled;1;Yes;male;single;2;[228, 188, 428, 964, 632, 39, 67, 741, 254, 661, 821, 12, 708, 836]
557;18;No Credits Taken / All Credits Paid Back Duly;New car;2278;100-500 DM;less than 1 year;3;None;3;28;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;2;[161, 331, 920, 483, 861, 86, 401, 388, 858, 390, 982, 819, 526, 575]
558;21;No Credits Taken / All Credits Paid Back Duly;New car;5003;No Savings Account;1-3 years;1;None;4;29;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;2;[366, 442, 841, 323, 112, 353, 174, 620, 558, 338, 694, 31, 982, 279]
559;24;All Credits at This Bank Paid Back Duly;Furniture/Equipment;3552;Less than 100 DM;4-6 years;3;None;4;27;Ownership;1;Skilled;1;Yes;male;single;2;[620, 31, 338, 174, 366, 670, 748, 142, 408, 311, 477, 694, 202, 279]
560;18;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;1928;Less than 100 DM;less than 1 year;2;None;2;31;Ownership;2;Unskilled - Resident;1;Yes;male;single;2;[598, 216, 644, 621, 825, 717, 710, 53, 474, 343, 894, 689, 853, 962]
561;24;Existing Credits Paid Back Duly Till Now;Used car;2964;No Savings Account;more than 6 years;4;None;4;49;Free Housing;1;Skilled;2;Yes;male;single;1;[843, 662, 607, 183, 702, 793, 773, 796, 289, 989, 65, 190, 4, 956]
562;24;All Credits at This Bank Paid Back Duly;Radio/TV;1546;Less than 100 DM;4-6 years;4;Guarantor;4;24;Rented;1;Unskilled - Resident;1;Yes;male;single;2;[524, 336, 777, 233, 970, 220, 346, 587, 954, 85, 505, 489, 811, 55]
563;6;Delay in Paying Off in the Past;Radio/TV;683;Less than 100 DM;less than 1 year;2;None;1;29;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[196, 451, 492, 601, 393, 458, 936, 66, 389, 913, 358, 110, 499, 960]
564;36;Existing Credits Paid Back Duly Till Now;New car;12389;No Savings Account;1-3 years;1;None;4;37;Free Housing;1;Skilled;1;Yes;male;single;2;[272, 657, 921, 549, 927, 5, 78, 829, 685, 672, 973, 375, 105, 205]
565;24;Delay in Paying Off in the Past;Business;4712;No Savings Account;1-3 years;4;None;2;37;Ownership;2;Highly Skilled;1;Yes;male;single;1;[469, 192, 597, 253, 845, 284, 963, 198, 160, 453, 654, 256, 158, 827]
566;24;Delay in Paying Off in the Past;Radio/TV;1553;100-500 DM;4-6 years;3;None;2;23;Rented;2;Skilled;1;Yes;female;divorced/separated/married;1;[596, 504, 775, 382, 593, 724, 731, 359, 570, 93, 475, 334, 218, 618]
567;12;Existing Credits Paid Back Duly Till Now;New car;1372;Less than 100 DM;4-6 years;2;None;3;36;Ownership;1;Skilled;1;Yes;male;divorced/separated;2;[38, 119, 799, 365, 461, 759, 625, 162, 265, 651, 803, 25, 473, 997]
568;24;Critical Account / Other Credits Existing at Other Bank;Radio/TV;2578;More than 1000 DM;more than 6 years;2;None;2;34;Ownership;1;Skilled;1;Yes;male;single;1;[963, 654, 256, 886, 845, 253, 192, 322, 974, 160, 284, 433, 469, 597]
569;48;Existing Credits Paid Back Duly Till Now;Radio/TV;3979;No Savings Account;4-6 years;4;None;1;41;Ownership;2;Skilled;2;Yes;male;single;1;[787, 73, 622, 870, 310, 653, 628, 501, 776, 938, 902, 868, 538, 266]
570;48;Existing Credits Paid Back Duly Till Now;Radio/TV;6758;Less than 100 DM;1-3 years;3;None;2;31;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;2;[116, 36, 945, 968, 287, 444, 255, 616, 467, 981, 677, 552, 134, 332]
571;24;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;3234;Less than 100 DM;less than 1 year;4;None;4;23;Rented;1;Unskilled - Resident;1;Yes;female;divorced/separated/married;2;[359, 218, 334, 724, 341, 618, 168, 593, 770, 93, 347, 731, 565, 596]
572;30;Critical Account / Other Credits Existing at Other Bank;Radio/TV;5954;Less than 100 DM;4-6 years;3;Co-applicant;2;38;Ownership;1;Skilled;1;Yes;male;single;1;[879, 778, 266, 415, 411, 888, 893, 868, 776, 628, 460, 910, 98, 870]
573;24;Existing Credits Paid Back Duly Till Now;Used car;5433;No Savings Account;Unemployed;2;None;4;26;Rented;1;Highly Skilled;1;Yes;female;divorced/separated/married;1;[306, 340, 347, 911, 952, 804, 341, 168, 770, 312, 733, 79, 208, 570]
574;15;Existing Credits Paid Back Duly Till Now;Business;806;Less than 100 DM;1-3 years;4;None;4;22;Ownership;1;Unskilled - Resident;1;Yes;female;divorced/separated/married;1;[783, 722, 12, 873, 691, 610, 550, 548, 836, 934, 931, 480, 604, 167]
575;9;Existing Credits Paid Back Duly Till Now;Radio/TV;1082;Less than 100 DM;more than 6 years;4;None;4;27;Ownership;2;Unskilled - Resident;1;Yes;male;single;1;[713, 313, 201, 762, 403, 741, 472, 52, 434, 510, 39, 878, 810, 383]
576;15;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;2788;Less than 100 DM;4-6 years;2;Co-applicant;3;24;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;1;[920, 690, 276, 86, 385, 768, 243, 698, 576, 319, 819, 640, 132, 439]
577;12;Existing Credits Paid Back Duly Till Now;Radio/TV;2930;Less than 100 DM;4-6 years;2;None;1;27;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[243, 439, 389, 936, 458, 66, 171, 358, 647, 196, 424, 690, 562, 451]
578;24;Critical Account / Other Credits Existing at Other Bank;Education;1927;No Savings Account;1-3 years;3;None;2;33;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;1;[327, 414, 15, 433, 855, 535, 974, 602, 755, 321, 423, 419, 862, 172]
579;36;Critical Account / Other Credits Existing at Other Bank;New car;2820;Less than 100 DM;less than 1 year;4;None;4;27;Ownership;2;Skilled;1;Yes;male;divorced/separated;2;[907, 603, 735, 225, 230, 951, 357, 148, 181, 476, 877, 101, 780, 217]
580;24;Existing Credits Paid Back Duly Till Now;retraining;937;Less than 100 DM;less than 1 year;4;None;3;27;Ownership;2;Unskilled - Resident;1;Yes;male;married/widowed;1;[481, 245, 533, 847, 764, 508, 500, 872, 455, 612, 636, 269, 866, 534]
581;18;Critical Account / Other Credits Existing at Other Bank;New car;1056;Less than 100 DM;more than 6 years;3;Guarantor;3;30;Ownership;2;Skilled;1;Yes;male;single;2;[498, 758, 643, 894, 401, 825, 185, 526, 390, 125, 388, 331, 861, 318]
582;12;Critical Account / Other Credits Existing at Other Bank;New car;3124;Less than 100 DM;less than 1 year;1;None;3;49;Ownership;2;Unskilled - Resident;2;Yes;male;single;1;[2, 485, 619, 303, 422, 356, 20, 835, 635, 823, 502, 277, 281, 354]
583;9;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;1388;Less than 100 DM;1-3 years;4;None;2;26;Rented;1;Skilled;1;Yes;female;divorced/separated/married;1;[869, 10, 721, 337, 197, 817, 985, 922, 111, 700, 623, 221, 372, 837]
584;36;Existing Credits Paid Back Duly Till Now;Repairs;2384;Less than 100 DM;less than 1 year;4;None;1;33;Rented;1;Unskilled - Resident;1;Yes;male;single;2;[530, 528, 315, 328, 687, 511, 993, 141, 840, 671, 76, 877, 181, 148]
585;12;Existing Credits Paid Back Duly Till Now;New car;2133;No Savings Account;more than 6 years;4;None;4;52;Free Housing;1;Highly Skilled;1;Yes;female;divorced/separated/married;1;[967, 396, 94, 885, 680, 246, 300, 448, 754, 91, 209, 72, 379, 84]
586;18;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;2039;Less than 100 DM;1-3 years;1;None;4;20;Rented;1;Skilled;1;Yes;female;divorced/separated/married;2;[420, 865, 746, 425, 249, 296, 655, 367, 155, 391, 797, 831, 926, 633]
587;9;Critical Account / Other Credits Existing at Other Bank;New car;2799;Less than 100 DM;1-3 years;2;None;2;36;Rented;2;Skilled;2;Yes;male;single;1;[617, 103, 456, 734, 747, 119, 362, 759, 271, 697, 799, 432, 852, 519]
588;12;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;1289;Less than 100 DM;1-3 years;4;Guarantor;1;21;Ownership;1;Unskilled - Resident;1;Yes;male;single;1;[970, 346, 336, 233, 220, 489, 524, 505, 811, 561, 55, 777, 954, 85]
589;18;Existing Credits Paid Back Duly Till Now;Domestic appliances;1217;Less than 100 DM;1-3 years;4;None;3;47;Ownership;1;Unskilled - Resident;1;Yes;male;married/widowed;2;[891, 354, 726, 149, 81, 635, 427, 925, 251, 157, 835, 823, 422, 398]
590;12;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;2246;Less than 100 DM;more than 6 years;3;None;3;60;Ownership;2;Skilled;1;Yes;male;single;2;[449, 544, 96, 123, 283, 769, 816, 848, 760, 987, 807, 360, 219, 883]
591;12;Critical Account / Other Credits Existing at Other Bank;Radio/TV;385;Less than 100 DM;4-6 years;4;None;3;58;Ownership;4;Unskilled - Resident;1;Yes;female;divorced/separated/married;1;[33, 849, 259, 263, 90, 429, 848, 448, 396, 967, 975, 94, 544, 589]
592;24;Delay in Paying Off in the Past;New car;1965;No Savings Account;1-3 years;4;None;4;42;Rented;2;Skilled;1;Yes;female;divorced/separated/married;1;[977, 674, 545, 830, 182, 404, 851, 406, 742, 884, 890, 594, 901, 899]
593;21;Existing Credits Paid Back Duly Till Now;Business;1572;More than 1000 DM;more than 6 years;4;None;4;36;Ownership;1;Unskilled - Resident;1;Yes;female;divorced/separated/married;1;[546, 437, 729, 172, 267, 862, 602, 537, 30, 904, 785, 790, 97, 433]
594;24;Existing Credits Paid Back Duly Till Now;New car;2718;Less than 100 DM;1-3 years;3;None;4;20;Rented;1;Unskilled - Resident;1;Yes;female;divorced/separated/married;2;[724, 731, 93, 618, 218, 359, 570, 334, 565, 596, 470, 504, 775, 382]
595;24;All Credits at This Bank Paid Back Duly;Used car;1358;No Savings Account;more than 6 years;4;None;3;40;Ownership;1;Highly Skilled;1;Yes;male;single;2;[742, 786, 497, 182, 100, 121, 380, 919, 674, 199, 591, 703, 977, 830]
596;6;All Credits at This Bank Paid Back Duly;New car;931;100-500 DM;less than 1 year;1;None;1;32;Ownership;1;Unskilled - Resident;1;Yes;female;divorced/separated/married;2;[909, 210, 348, 394, 462, 159, 34, 165, 275, 307, 244, 638, 128, 278]
597;24;Existing Credits Paid Back Duly Till Now;New car;1442;Less than 100 DM;4-6 years;4;None;4;23;Rented;2;Skilled;1;Yes;female;divorced/separated/married;2;[565, 504, 382, 775, 593, 724, 731, 359, 570, 475, 93, 218, 334, 618]
598;24;No Credits Taken / All Credits Paid Back Duly;Business;4241;Less than 100 DM;1-3 years;1;None;4;36;Ownership;3;Unskilled - Resident;1;Yes;male;single;2;[469, 564, 845, 253, 192, 827, 654, 963, 453, 256, 198, 322, 284, 160]
599;18;Critical Account / Other Credits Existing at Other Bank;New car;2775;Less than 100 DM;4-6 years;2;None;2;31;Ownership;2;Skilled;1;Yes;male;single;2;[216, 559, 717, 644, 547, 53, 740, 343, 942, 825, 621, 984, 853, 459]
600;24;Delay in Paying Off in the Past;Business;3863;Less than 100 DM;1-3 years;1;None;2;32;Free Housing;1;Skilled;1;Yes;male;single;1;[914, 223, 794, 718, 19, 863, 949, 371, 676, 299, 946, 719, 959, 886]
601;7;Existing Credits Paid Back Duly Till Now;Radio/TV;2329;Less than 100 DM;less than 1 year;1;Guarantor;1;45;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[944, 801, 288, 732, 139, 900, 251, 345, 61, 551, 71, 933, 157, 668]
602;9;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;918;Less than 100 DM;1-3 years;4;None;1;30;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;2;[393, 451, 196, 562, 66, 492, 936, 358, 110, 960, 499, 193, 458, 222]
603;24;All Credits at This Bank Paid Back Duly;Education;1837;Less than 100 DM;4-6 years;4;None;4;34;Free Housing;1;Unskilled - Resident;1;Yes;female;divorced/separated/married;2;[172, 535, 433, 423, 327, 414, 577, 862, 729, 419, 853, 15, 166, 592]
604;36;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;3349;Less than 100 DM;1-3 years;4;None;2;28;Ownership;1;Highly Skilled;1;Yes;female;divorced/separated/married;2;[735, 578, 907, 181, 148, 225, 230, 877, 141, 357, 951, 780, 993, 476]
605;10;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;1275;Less than 100 DM;less than 1 year;4;None;2;23;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[471, 931, 167, 308, 836, 610, 550, 12, 708, 934, 873, 632, 102, 783]
606;24;All Credits at This Bank Paid Back Duly;Furniture/Equipment;2828;500-1000 DM;1-3 years;4;None;4;22;Ownership;1;Skilled;1;Yes;male;single;1;[743, 229, 405, 966, 495, 79, 802, 312, 355, 523, 911, 634, 64, 410]
607;24;Critical Account / Other Credits Existing at Other Bank;Business;4526;Less than 100 DM;1-3 years;3;None;2;74;Ownership;1;Highly Skilled;1;Yes;male;single;1;[163, 186, 846, 917, 330, 430, 554, 779, 0, 756, 536, 187, 629, 774]
608;36;Existing Credits Paid Back Duly Till Now;Radio/TV;2671;100-500 DM;1-3 years;4;Co-applicant;4;50;Free Housing;1;Skilled;1;Yes;female;divorced/separated/married;2;[560, 843, 65, 183, 956, 289, 662, 989, 702, 212, 214, 669, 793, 773]
609;18;Existing Credits Paid Back Duly Till Now;Radio/TV;2051;Less than 100 DM;less than 1 year;4;None;1;33;Ownership;1;Skilled;1;Yes;male;single;1;[464, 749, 853, 717, 97, 189, 376, 543, 785, 166, 602, 682, 474, 172]
610;15;Existing Credits Paid Back Duly Till Now;Used car;1300;No Savings Account;more than 6 years;4;None;4;45;Free Housing;1;Skilled;2;Yes;male;single;1;[149, 427, 133, 891, 844, 712, 81, 282, 588, 631, 354, 908, 539, 839]
611;12;Existing Credits Paid Back Duly Till Now;Domestic appliances;741;100-500 DM;Unemployed;4;None;3;22;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;2;[836, 550, 12, 931, 873, 604, 934, 708, 167, 471, 308, 632, 67, 722]
612;10;Existing Credits Paid Back Duly Till Now;New car;1240;100-500 DM;more than 6 years;1;None;4;48;Free Housing;1;Unskilled - Resident;2;Yes;female;divorced/separated/married;2;[994, 695, 664, 750, 502, 281, 277, 231, 486, 241, 77, 84, 356, 200]
613;21;Existing Credits Paid Back Duly Till Now;Radio/TV;3357;More than 1000 DM;less than 1 year;4;None;2;29;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[500, 455, 630, 579, 64, 466, 533, 636, 245, 481, 847, 764, 866, 896]
614;24;All Credits at This Bank Paid Back Duly;Used car;3632;Less than 100 DM;1-3 years;1;Guarantor;4;22;Rented;1;Skilled;1;No;female;divorced/separated/married;1;[906, 930, 859, 407, 117, 850, 290, 806, 173, 140, 696, 351, 24, 270]
615;18;Delay in Paying Off in the Past;Furniture/Equipment;1808;Less than 100 DM;4-6 years;4;None;1;22;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;2;[842, 521, 58, 144, 751, 120, 258, 410, 143, 834, 679, 634, 319, 691]
616;48;No Credits Taken / All Credits Paid Back Duly;Business;12204;No Savings Account;1-3 years;2;None;2;48;Ownership;1;Highly Skilled;1;Yes;male;single;1;[304, 509, 854, 3, 294, 87, 538, 814, 701, 902, 828, 653, 115, 818]
617;60;Delay in Paying Off in the Past;Radio/TV;9157;No Savings Account;1-3 years;2;None;2;27;Free Housing;1;Highly Skilled;1;Yes;male;single;1;[134, 255, 945, 295, 677, 130, 226, 332, 569, 333, 116, 968, 714, 887]
618;6;Critical Account / Other Credits Existing at Other Bank;New car;3676;Less than 100 DM;1-3 years;1;None;3;37;Rented;3;Skilled;2;Yes;male;single;1;[586, 103, 734, 456, 119, 747, 271, 759, 697, 362, 799, 566, 519, 852]
619;30;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;3441;100-500 DM;1-3 years;2;Co-applicant;4;21;Rented;1;Skilled;1;Yes;female;divorced/separated/married;2;[218, 334, 93, 724, 359, 570, 593, 731, 470, 341, 168, 565, 770, 596]
620;12;Existing Credits Paid Back Duly Till Now;New car;640;Less than 100 DM;1-3 years;4;None;2;49;Ownership;1;Unskilled - Resident;1;Yes;male;divorced/separated;1;[422, 2, 303, 485, 581, 823, 20, 356, 835, 398, 635, 925, 502, 277]
621;21;Critical Account / Other Credits Existing at Other Bank;Business;3652;Less than 100 DM;4-6 years;2;None;3;27;Ownership;2;Skilled;1;Yes;male;single;1;[558, 31, 338, 174, 366, 748, 670, 311, 477, 142, 408, 202, 841, 442]
622;18;Critical Account / Other Credits Existing at Other Bank;New car;1530;Less than 100 DM;1-3 years;3;None;2;32;Ownership;2;Skilled;1;Yes;male;single;2;[710, 644, 474, 682, 185, 559, 717, 376, 318, 598, 894, 689, 825, 853]
623;48;Existing Credits Paid Back Duly Till Now;Business;3914;No Savings Account;1-3 years;4;None;2;38;Ownership;1;Skilled;1;Yes;male;divorced/separated;2;[787, 568, 73, 870, 310, 628, 868, 266, 829, 778, 776, 938, 973, 415]
624;12;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;1858;Less than 100 DM;less than 1 year;4;None;1;22;Rented;1;Skilled;1;Yes;female;divorced/separated/married;1;[372, 111, 922, 837, 817, 633, 350, 797, 795, 869, 47, 221, 721, 10]
625;18;Existing Credits Paid Back Duly Till Now;Radio/TV;2600;Less than 100 DM;1-3 years;4;None;4;65;Free Housing;2;Skilled;1;Yes;male;single;2;[360, 779, 760, 807, 883, 179, 987, 769, 976, 283, 629, 137, 75, 219]
626;15;Existing Credits Paid Back Duly Till Now;Radio/TV;1979;No Savings Account;more than 6 years;4;None;2;35;Ownership;1;Skilled;1;Yes;male;single;1;[162, 365, 461, 232, 265, 566, 114, 759, 184, 799, 803, 119, 852, 681]
627;6;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;2116;Less than 100 DM;1-3 years;2;None;2;41;Ownership;1;Skilled;1;Yes;male;single;1;[943, 234, 527, 518, 150, 412, 929, 21, 335, 176, 529, 656, 532, 443]
628;9;All Credits at This Bank Paid Back Duly;New car;1437;100-500 DM;4-6 years;2;None;3;29;Ownership;1;Skilled;1;Yes;male;single;2;[89, 553, 686, 409, 499, 207, 110, 878, 383, 490, 745, 358, 510, 329]
629;42;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;4042;500-1000 DM;1-3 years;4;None;4;36;Ownership;2;Skilled;1;Yes;male;single;1;[776, 778, 787, 266, 415, 571, 98, 622, 879, 868, 460, 870, 893, 73]
630;9;Existing Credits Paid Back Duly Till Now;Education;3832;No Savings Account;more than 6 years;1;None;4;64;Ownership;1;Unskilled - Resident;1;Yes;male;single;1;[137, 774, 976, 75, 723, 883, 779, 0, 554, 219, 536, 807, 756, 987]
631;24;Existing Credits Paid Back Duly Till Now;Radio/TV;3660;Less than 100 DM;1-3 years;2;None;4;28;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[64, 612, 500, 455, 534, 248, 269, 965, 245, 466, 896, 481, 312, 872]
632;18;All Credits at This Bank Paid Back Duly;Furniture/Equipment;1553;Less than 100 DM;1-3 years;4;None;3;44;Ownership;1;Skilled;1;Yes;male;single;2;[399, 298, 940, 479, 539, 948, 427, 712, 609, 149, 908, 652, 899, 668]
633;15;Existing Credits Paid Back Duly Till Now;Radio/TV;1444;No Savings Account;less than 1 year;4;None;1;23;Ownership;1;Skilled;1;Yes;male;single;1;[188, 67, 555, 228, 836, 12, 550, 428, 934, 708, 610, 964, 931, 821]
634;9;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;1980;Less than 100 DM;less than 1 year;2;Co-applicant;2;19;Rented;2;Skilled;1;Yes;female;divorced/separated/married;2;[350, 837, 795, 922, 797, 47, 111, 623, 513, 391, 372, 155, 817, 249]
635;24;Existing Credits Paid Back Duly Till Now;New car;1355;Less than 100 DM;less than 1 year;3;None;4;25;Ownership;1;Unskilled - Resident;1;Yes;female;divorced/separated/married;2;[355, 120, 466, 144, 896, 521, 405, 866, 410, 64, 842, 802, 743, 679]
